Sample,PWM,Motor Speed (RPM)
5408,80,22.12
5409,80,23.96
5410,80,22.12
5411,80,23.04
5412,80,23.04
5413,80,22.12
5414,80,23.96
5415,80,22.12
5416,80,23.96
5417,80,22.12
5418,80,23.96
5419,80,22.12
5420,80,23.96
5421,80,22.12
5422,80,23.96
5423,80,22.12
5424,80,23.96
5425,80,22.12
5426,80,23.96
5427,80,22.12
5428,80,23.96
5429,80,23.04
5430,80,23.04
5431,80,23.04
5432,80,23.04
5433,80,23.04
5434,80,23.04
5435,80,23.04
5436,80,23.04
5437,80,23.96
5438,80,22.12
5439,80,23.96
5440,80,22.12
5441,80,23.96
5442,80,22.12
5443,80,23.96
5444,80,22.12
5445,80,23.96
5446,80,22.12
5447,80,23.96
5448,80,22.12
5449,80,23.96
5450,80,23.04
5451,80,23.04
5452,80,23.04
5453,80,23.04
5454,80,23.96
5455,80,22.12
5456,80,23.96
5457,80,22.12
5458,80,23.96
5459,80,22.12
5460,80,23.96
5461,80,22.12
5462,80,23.96
5463,80,23.04
5464,80,23.04
5465,80,23.04
5466,80,23.04
5467,80,23.04
5468,80,23.04
5469,80,23.96
5470,80,22.12
5471,80,23.96
5472,80,22.12
5473,80,23.96
5474,80,22.12
5475,80,23.96
5476,80,22.12
5477,80,23.96
5478,80,22.12
5479,80,23.96
5480,80,23.04
5481,80,23.04
5482,80,23.04
5483,80,23.04
5484,80,23.04
5485,80,23.04
5486,80,23.04
5487,80,23.04
5488,80,23.96
5489,80,22.12
5490,80,23.96
5491,80,22.12
5492,80,23.96
5493,80,22.12
5494,80,23.96
5495,80,22.12
5496,80,23.96
5497,80,22.12
5498,80,23.04
5499,80,23.04
5500,80,23.04
5501,80,23.04
5502,80,22.12
5503,80,23.96
5504,80,22.12
5505,80,23.96
5506,80,22.12
5507,80,23.96
5508,80,22.12
5509,80,23.96
5510,80,22.12
5511,80,23.96
5512,80,22.12
5513,80,23.96
5514,80,22.12
5515,80,23.96
5516,80,22.12
5517,80,23.96
5518,80,22.12
5519,80,23.96
5520,80,22.12
5521,80,23.96
5522,80,22.12
5523,80,23.96
5524,80,22.12
5525,80,23.96
5526,80,22.12
5527,80,23.96
5528,80,22.12
5529,80,23.96
5530,80,22.12
5531,80,23.96
5532,80,22.12
5533,80,23.96
5534,80,22.12
5535,80,23.96
5536,80,22.12
5537,80,23.96
5538,80,22.12
5539,80,23.96
5540,80,22.12
5541,80,23.96
5542,80,22.12
5543,80,23.96
5544,80,22.12
5545,80,23.96
5546,80,23.04
5547,80,23.04
5548,80,23.04
5549,80,23.04
5550,80,23.04
5551,80,23.04
5552,80,23.04
5553,80,23.04
5554,80,23.96
5555,80,22.12
5556,80,23.96
5557,80,22.12
5558,80,23.96
5559,80,22.12
5560,80,23.96
5561,80,22.12
5562,80,23.96
5563,80,22.12
5564,80,23.96
5565,80,22.12
5566,80,23.96
5567,80,22.12
5568,80,23.96
5569,80,22.12
5570,80,23.96
5571,80,22.12
5572,80,23.96
5573,80,22.12
5574,80,23.96
5575,80,22.12
5576,80,23.96
5577,80,22.12
5578,80,23.96
5579,80,22.12
5580,80,23.96
5581,80,22.12
5582,80,23.96
5583,80,23.04
5584,80,23.04
5585,80,23.04
5586,80,23.04
5587,80,23.96
5588,80,22.12
5589,80,23.96
5590,80,22.12
5591,80,23.96
5592,80,22.12
5593,80,23.96
5594,80,22.12
5595,80,23.96
5596,80,22.12
5597,80,23.96
5598,80,22.12
5599,80,23.96
5600,80,22.12
5601,80,23.96
5602,80,22.12
5603,80,23.96
5604,80,22.12
5605,80,23.04
5606,80,23.04
5607,80,23.04
5608,80,23.04
5609,80,22.12
5610,80,23.96
5611,80,22.12
5612,80,23.04
5613,80,23.04
5614,80,22.12
5615,80,23.96
5616,80,22.12
5617,80,23.96
5618,80,22.12
5619,80,23.04
5620,80,23.04
5621,80,22.12
5622,80,23.96
5623,80,22.12
5624,80,23.96
5625,80,22.12
5626,80,23.96
5627,80,22.12
5628,80,23.04
5629,80,23.04
5630,80,23.04
5631,80,23.04
5632,80,22.12
5633,80,23.96
5634,80,22.12
5635,80,23.96
5636,80,22.12
5637,80,23.04
5638,80,23.04
5639,80,22.12
5640,80,23.96
5641,80,22.12
5642,80,23.04
5643,80,23.04
5644,80,23.04
5645,80,23.04
5646,80,22.12
5647,80,23.96
5648,80,22.12
5649,80,23.96
5650,80,22.12
5651,80,23.04
5652,80,23.04
5653,80,23.04
5654,80,23.04
5655,80,22.12
5656,80,23.96
5657,80,22.12
5658,80,23.96
5659,80,22.12
5660,80,23.96
5661,80,22.12
5662,80,23.96
5663,80,22.12
5664,80,23.04
5665,80,23.04
5666,80,23.04
5667,80,23.04
5668,80,23.04
5669,80,23.04
5670,80,23.04
5671,80,23.04
5672,80,22.12
5673,80,23.96
5674,80,22.12
5675,80,23.96
5676,80,22.12
5677,80,23.96
5678,80,22.12
5679,80,23.96
5680,80,22.12
5681,80,23.96
5682,80,22.12
5683,80,23.96
5684,80,22.12
5685,80,23.96
5686,80,22.12
5687,80,23.96
5688,80,22.12
5689,80,23.04
5690,80,23.04
5691,80,23.04
5692,80,23.04
5693,80,23.04
5694,80,23.04
5695,80,23.04
5696,80,23.04
5697,80,23.04
5698,80,23.04
5699,80,23.04
5700,80,23.04
5701,80,23.04
5702,80,23.04
5703,80,23.96
5704,80,22.12
5705,80,23.96
5706,80,22.12
5707,80,23.96
5708,80,22.12
5709,80,23.96
5710,80,22.12
5711,80,23.96
5712,80,22.12
5713,80,23.96
5714,80,22.12
5715,80,23.96
5716,80,22.12
5717,80,23.96
5718,80,22.12
5719,80,23.96
5720,80,22.12
5721,80,23.96
5722,80,22.12
5723,80,23.96
5724,80,22.12
5725,80,23.96
5726,80,22.12
5727,80,23.96
5728,80,22.12
5729,80,23.96
5730,80,22.12
5731,80,23.96
5732,80,22.12
5733,80,23.96
5734,80,22.12
5735,80,23.96
5736,80,22.12
5737,80,23.96
5738,80,22.12
5739,80,23.96
5740,80,22.12
5741,80,23.96
5742,80,22.12
5743,80,23.96
5744,80,23.04
5745,80,23.04
5746,80,23.04
5747,80,23.04
5748,80,23.04
5749,80,23.04
5750,80,23.04
5751,80,23.04
5752,80,23.96
5753,80,22.12
5754,80,23.96
5755,80,22.12
5756,80,23.96
5757,80,22.12
5758,80,23.96
5759,80,22.12
5760,80,23.96
5761,80,22.12
5762,80,23.96
5763,80,22.12
5764,80,23.96
5765,80,22.12
5766,80,23.96
5767,80,22.12
5768,80,23.96
5769,80,22.12
5770,80,23.96
5771,80,23.04
5772,80,23.04
5773,80,23.04
5774,80,23.04
5775,80,23.04
5776,80,23.04
5777,80,23.96
5778,80,22.12
5779,80,23.96
5780,80,22.12
5781,80,23.96
5782,80,22.12
5783,80,23.96
5784,80,22.12
5785,80,23.96
5786,80,23.04
5787,80,23.04
5788,80,23.04
5789,80,23.04
5790,80,23.04
5791,80,23.04
5792,80,23.04
5793,80,23.04
5794,80,23.04
5795,80,23.04
5796,80,23.04
5797,80,23.04
5798,80,23.04
5799,80,23.04
5800,80,23.04
5801,80,23.04
5802,80,23.04
5803,80,23.04
5804,80,23.04
5805,80,23.04
5806,80,23.04
5807,80,23.04
5808,80,22.12
5809,80,23.96
5810,80,22.12
5811,80,23.96
5812,80,22.12
5813,80,23.96
5814,80,23.04
5815,80,23.04
5816,80,22.12
5817,80,23.96
5818,80,23.04
5819,80,23.04
5820,80,23.04
5821,80,23.04
5822,80,23.04
5823,80,23.04
5824,80,23.04
5825,80,23.04
5826,80,23.04
5827,80,23.04
5828,80,23.04
5829,80,23.04
5830,80,23.04
5831,80,23.04
5832,80,23.04
5833,80,23.04
5834,80,23.04
5835,80,23.04
5836,80,23.04
5837,80,23.04
5838,80,23.04
5839,80,23.04
5840,80,23.96
5841,80,22.12
5842,80,23.96
5843,80,22.12
5844,80,23.96
5845,80,22.12
5846,80,23.96
5847,80,22.12
5848,80,23.96
5849,80,22.12
5850,80,23.96
5851,80,22.12
5852,80,23.96
5853,80,22.12
5854,80,23.96
5855,80,23.04
5856,80,23.04
5857,80,23.04
5858,80,23.04
5859,80,23.04
5860,80,23.04
5861,80,23.04
5862,80,23.04
5863,80,23.96
5864,80,22.12
5865,80,23.96
5866,80,22.12
5867,80,23.96
5868,80,22.12
5869,80,23.96
5870,80,22.12
5871,80,23.96
5872,80,22.12
5873,80,23.96
5874,80,23.04
5875,80,23.04
5876,80,23.04
5877,80,23.04
5878,80,23.04
5879,80,23.04
5880,80,23.96
5881,80,22.12
5882,80,23.96
5883,80,22.12
5884,80,23.96
5885,80,22.12
5886,80,23.96
5887,80,22.12
5888,80,23.96
5889,80,23.04
5890,80,23.04
5891,80,23.04
