Sample,PWM,Motor Speed (RPM),Filtered Motor Speed (RPM)
265,80,23.04,23.04
266,80,23.04,23.04
267,80,23.04,23.04
268,80,23.04,23.04
269,80,23.04,23.04
270,80,23.04,23.04
271,80,23.04,23.04
272,80,23.04,23.04
273,80,23.04,23.04
274,80,23.04,23.04
275,80,23.04,23.04
276,80,23.04,23.04
277,80,23.04,23.04
278,80,23.04,23.04
279,80,23.04,22.73
280,80,22.12,23.04
281,80,23.96,22.73
282,80,22.12,23.35
283,80,23.96,22.73
284,80,22.12,23.35
285,80,23.96,22.73
286,80,22.12,23.35
287,80,23.96,22.73
288,80,22.12,23.04
289,80,23.04,22.73
290,80,23.04,23.04
291,80,23.04,23.04
292,80,23.04,23.04
293,80,23.04,23.04
294,80,23.04,23.04
295,80,23.04,23.04
296,80,23.04,23.04
297,80,23.04,23.04
298,80,23.04,23.04
299,80,23.04,23.04
300,80,23.04,23.04
301,80,23.04,23.04
302,80,23.04,23.04
303,80,23.04,23.04
304,80,23.04,23.04
305,80,23.04,23.04
306,80,23.04,23.04
307,80,23.04,23.04
308,80,23.04,23.04
309,80,23.04,23.04
310,80,23.04,23.04
311,80,23.04,23.04
312,80,23.04,23.04
313,80,23.04,23.04
314,80,23.04,22.73
315,80,22.12,23.04
316,80,23.96,22.73
317,80,22.12,23.35
318,80,23.96,22.73
319,80,22.12,23.35
320,80,23.96,22.73
321,80,22.12,23.35
322,80,23.96,22.73
323,80,22.12,23.35
324,80,23.96,22.73
325,80,22.12,23.35
326,80,23.96,22.73
327,80,22.12,23.35
328,80,23.96,22.73
329,80,22.12,23.35
330,80,23.96,22.73
331,80,22.12,23.35
332,80,23.96,22.73
333,80,22.12,23.35
334,80,23.96,23.04
335,80,23.04,23.35
336,80,23.04,23.04
337,80,23.04,23.04
338,80,23.04,23.04
339,80,23.04,23.04
340,80,23.04,23.04
341,80,23.04,23.04
342,80,23.04,23.04
343,80,23.04,23.04
344,80,23.04,23.04
345,80,23.04,23.04
346,80,23.04,23.04
347,80,23.04,23.04
348,80,23.04,23.04
349,80,23.04,23.04
350,80,23.04,23.04
351,80,23.04,23.04
352,80,23.04,23.04
353,80,23.04,23.04
354,80,23.04,23.04
355,80,23.04,23.04
356,80,23.04,23.04
357,80,23.04,23.04
358,80,23.04,23.04
359,80,23.04,23.04
360,80,23.04,22.73
361,80,22.12,23.04
362,80,23.96,22.73
363,80,22.12,23.35
364,80,23.96,22.73
365,80,22.12,23.35
366,80,23.96,22.73
367,80,22.12,23.35
368,80,23.96,22.73
369,80,22.12,23.35
370,80,23.96,22.73
371,80,22.12,23.35
372,80,23.96,22.73
373,80,22.12,23.35
374,80,23.96,22.73
375,80,22.12,23.35
376,80,23.96,22.73
377,80,22.12,23.35
378,80,23.96,22.73
379,80,22.12,23.35
380,80,23.96,22.73
381,80,22.12,23.35
382,80,23.96,22.73
383,80,22.12,23.35
384,80,23.96,22.73
385,80,22.12,23.35
386,80,23.96,22.73
387,80,22.12,23.35
388,80,23.96,22.73
389,80,22.12,23.35
390,80,23.96,22.73
391,80,22.12,23.35
392,80,23.96,22.73
393,80,22.12,23.35
394,80,23.96,22.73
395,80,22.12,23.35
396,80,23.96,22.73
397,80,22.12,23.04
398,80,23.04,22.73
399,80,23.04,23.04
400,80,23.04,23.04
401,80,23.04,23.04
402,80,23.04,23.04
403,80,23.04,23.04
404,80,23.04,23.04
405,80,23.04,23.04
406,80,23.04,23.04
407,80,23.04,23.04
408,80,23.04,23.04
409,80,23.04,23.04
410,80,23.04,23.04
411,80,23.04,23.04
412,80,23.04,23.04
413,80,23.04,23.04
414,80,23.04,23.04
415,80,23.04,23.04
416,80,23.04,23.04
417,80,23.04,23.04
418,80,23.04,23.04
419,80,23.04,23.35
420,80,23.96,23.04
421,80,22.12,23.35
422,80,23.96,22.73
423,80,22.12,23.35
424,80,23.96,22.73
425,80,22.12,23.35
426,80,23.96,22.73
427,80,22.12,23.35
428,80,23.96,22.73
429,80,22.12,23.35
430,80,23.96,22.73
431,80,22.12,23.35
432,80,23.96,22.73
